,Nepali,Min Price,Max Price,Avg Price
Tomato Big(Nepali) (KG),गोलभेडा ठूलो(नेपाली) (के.जी.),40,50,45.00
Tomato Big(Indian) (KG),गोलभेडा ठूलो(भारतीय) (केजी),32,40,36.00
Tomato Small(Local) (KG),गोलभेडा सानो(लोकल) (के.जी.),25,32,28.40
Tomato Small(Tunnel) (KG),गोलभेडा सानो(टनेल) (के जी),30,42,37.40
Tomato Small(Indian) (KG),गोलभेडा सानो(भारतीय) (के जी),30,35,33.33
Potato Red (KG),आलु रातो (के.जी.),60,65,62.50
Potato Red(Indian) (KG),आलु रातो(भारतीय) (के जी),38,40,39.00
Potato Red(Mude) (KG),आलु रातो(मुडे) (केजी),42,46,44.20
Potato White (KG),आलु सेतो (के.जी.),42,45,43.50
Onion Dry (Indian) (KG),प्याज सुकेको (भारतीय) (के.जी.),78,82,80.00
Carrot(Local) (KG),गाजर(लोकल) (के.जी.),110,120,115.00
Carrot(Terai) (KG),गाजर(तराई) (केजी),80,90,85.00
Cabbage(Local) (KG),बन्दा(लोकल) (के.जी.),60,70,65.00
Cauli Local (KG),काउली स्थानिय (के.जी.),110,120,116.00
Raddish Red (KG),मूला रातो (के.जी.),60,70,65.00
Raddish White(Local) (KG),मूला सेतो(लोकल) (के.जी.),25,35,30.00
Raddish White(Hybrid) (KG),सेतो मूला(हाइब्रीड) (केजी),30,40,35.00
Brinjal Long (KG),भन्टा लाम्चो (के.जी.),25,35,30.00
Brinjal Round (KG),भन्टा डल्लो (के.जी.),50,60,55.00
Cow pea(Long) (KG),बोडी(तने) (के.जी.),90,100,95.00
Cowpea(Short) (KG),मकै बोडी (केजी),80,90,85.00
Green Peas (KG),मटरकोशा (के.जी.),250,300,275.00
French Bean(Local) (KG),घिउ सिमी(लोकल) (के.जी.),50,60,55.00
French Bean(Hybrid) (KG),घिउ सिमी(हाइब्रीड) (केजी),50,60,55.00
French Bean(Rajma) (KG),घिउ सिमी(राजमा) (केजी),220,250,235.00
Sword Bean (KG),टाटे सिमी (के.जी.),70,80,75.00
Soyabean Green (KG),भटमासकोशा (के.जी.),70,80,75.00
Bitter Gourd (KG),तितो करेला (के.जी.),60,70,65.00
Bottle Gourd (KG),लौका (के.जी.),60,70,65.00
Pointed Gourd(Local) (KG),परवर(लोकल) (के.जी.),60,70,65.00
Pointed Gourd(Terai) (KG),परवर(तराई) (केजी),60,70,65.00
Snake Gourd (KG),चिचिण्डो (के.जी.),30,40,36.67
Smooth Gourd (KG),घिरौला (के.जी.),90,100,95.00
Sponge Gourd (KG),झिगूनी (के.जी.),60,70,65.00
Pumpkin (KG),फर्सी पाकेको (के.जी.),30,40,35.00
Squash(Round) (KG),हरियो फर्सी(डल्लो) (केजी),50,60,55.00
Turnip (KG),सलगम (के.जी.),70,80,76.67
Okara (KG),भिण्डी (के.जी.),80,90,85.00
Sweet Potato (KG),सखरखण्ड (के.जी.),60,70,65.00
Barela (KG),बरेला (के.जी.),70,80,75.00
Arum (KG),पिंडालू (के.जी.),60,70,65.00
Christophine (KG),स्कूस (के.जी.),10,15,12.40
Brd Leaf Mustard (KG),रायो साग (के.जी.),80,90,86.67
Spinach Leaf (KG),पालूगो साग (के.जी.),220,250,235.00
Cress Leaf (KG),चमसूरको साग (के.जी.),220,250,235.00
Mustard Leaf (KG),तोरीको साग (के.जी.),40,50,45.00
Fenugreek Leaf (KG),मेथीको साग (के.जी.),220,250,235.00
Onion Green (KG),प्याज हरियो (के.जी.),80,100,90.00
Mushroom(Kanya) (KG),च्याउ(कन्य) (के.जी.),130,160,145.00
Mushroom(Button) (KG),च्याउ(डल्ले) (के जी),300,350,324.00
Asparagus (KG),कुरीलो (के.जी.),500,550,525.00
Neuro (KG),न्यूरो (के.जी.),70,80,75.00
Brocauli (KG),ब्रोकाउली (के.जी.),120,160,144.00
Sugarbeet (KG),चुकुन्दर (के.जी.),70,80,75.00
Drumstick (KG),सजिवन (के.जी.),200,220,210.00
Red Cabbbage (KG),रातो बन्दा (के.जी.),180,200,190.00
Lettuce (KG),जिरीको साग (के.जी.),90,100,96.67
Celery (KG),सेलरी (के.जी.),350,400,375.00
Fennel Leaf (KG),सौफको साग (के.जी.),220,250,235.00
Mint (KG),पुदीना (के.जी.),450,500,475.00
Turnip A (KG),गान्टे मूला (के.जी.),70,80,76.67
Tamarind (KG),इमली (के.जी.),140,150,146.67
Bamboo Shoot (KG),तामा (के.जी.),90,100,93.33
Tofu (KG),तोफु (के.जी.),120,130,126.67
Gundruk (KG),गुन्दुक (के.जी.),250,300,275.00
Apple(Jholey) (KG),स्याउ(झोले) (के.जी.),260,280,270.00
Apple(Fuji) (KG),स्याउ(फूजी) (के जी),320,350,335.00
Banana (Per Dozen),केरा (दर्जन),140,150,145.00
Lime (KG),कागती (के.जी.),150,200,175.00
Pomegranate (KG),अनार (के.जी.),350,380,365.00
Grapes(Black) (KG),अंगुर(कालो) (केजी),400,420,410.00
Orange(Indian) (KG),सुन्तला(भारतीय) (केजी),140,150,145.00
Water Melon(Green) (KG),तरबुजा(हरियो) (के.जी.),60,70,66.67
Sweet Orange (KG),मौसम (के.जी.),120,150,135.00
Mandarin (KG),जुनार (के.जी.),320,350,335.00
Pineapple (1 Pc),भुई कटहर (प्रति गोटा),150,180,165.00
Cucumber(Local) (KG),काक्रो(लोकल) (के.जी.),70,80,76.00
Cucumber(Hybrid) (KG),काक्रो(हाइब्रीड) (के जी),40,50,43.33
Lemon (KG),निबुवा (के.जी.),40,50,45.00
Pear(Local) (KG),नासपाती(लोकल) (के.जी.),90,100,96.67
Pear(Chinese) (KG),नासपाती(चाइनिज) (केजी),220,250,235.00
Papaya(Nepali) (KG),मेवा(नेपाली) (के.जी.),50,60,55.00
Papaya(Indian) (KG),मेवा(भारतीय) (केजी),130,140,135.00
Guava (KG),अम्बा (के.जी.),80,100,90.00
Mombin (KG),लप्सी (के.जी.),50,60,56.67
Kiwi (KG),किवि (केजी),200,300,250.00
Sarifa (KG),शरीफा (के‍.जी),200,300,250.00
Avocado (KG),आभोकाडो (के.जी),200,300,250.00
Amla (KG),अमला (के.जी),60,70,65.00
